Issued To	Issued By	Expiration Date	Intended Purposes	Friendly Name	Status	Certificate Template
::1	Microsoft Windows Web Management (Test) (DESKTOP-1J06VR1)	7/8/2022	Server Authentication, Client Authentication	<None>	    	
127.0.0.1	Microsoft Windows Web Management (Test) (DESKTOP-1J06VR1)	7/8/2022	Server Authentication, Client Authentication	<None>	    	
169.254.124.120	Microsoft Windows Web Management (Test) (DESKTOP-1J06VR1)	7/19/2022	Server Authentication, Client Authentication	<None>	    	
169.254.145.67	Microsoft Windows Web Management (Test) (KayCoinsUSA)	9/4/2023	Server Authentication, Client Authentication	<None>	    	
169.254.156.101	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/17/2022	Server Authentication, Client Authentication	<None>	    	
169.254.189.40	Microsoft Windows Web Management (Test) (KayCoinsUSA)	9/4/2023	Server Authentication, Client Authentication	<None>	    	
169.254.36.211	Microsoft Windows Web Management (Test) (KayCoinsUSA)	9/4/2023	Server Authentication, Client Authentication	<None>	    	
169.254.39.196	Microsoft Windows Web Management (Test) (DESKTOP-1J06VR1)	7/8/2022	Server Authentication, Client Authentication	<None>	    	
169.254.46.187	Microsoft Windows Web Management (Test) (KayCoinsUSA)	9/4/2023	Server Authentication, Client Authentication	<None>	    	
169.254.54.186	Microsoft Windows Web Management (Test) (DESKTOP-1J06VR1)	7/8/2022	Server Authentication, Client Authentication	<None>	    	
169.254.59.164	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/19/2022	Server Authentication, Client Authentication	<None>	    	
169.254.60.80	Microsoft Windows Web Management (Test) (DESKTOP-1J06VR1)	7/9/2022	Server Authentication, Client Authentication	<None>	    	
172.17.0.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	1/14/2023	Server Authentication, Client Authentication	<None>	    	
172.17.112.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/9/2022	Server Authentication, Client Authentication	<None>	    	
